"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"“我们垃圾大院的孩子们真的会拿着棍棒互打，有时像那些学徒似的。”","“We lads of Offal Court do strive against each other with the cudgel, like to the fashion of the ’prentices, sometimes.”"
"王子的眼睛眨了眨。他说：","The prince’s eyes flashed.Said he—"
"“哎呀，我怎么会不喜欢。再多讲些。”","“Marry, that would not I mislike.Tell me more.”"
"“我们赛跑，殿下，看我们中谁跑的最快。”","“We strive in races, sir, to see who of us shall be fleetest.”"
"“我也喜欢这个。接着讲。”","“That would I like also.Speak on.”"
"“殿下，夏天时，我们在渠里和河里蹚水、游泳，每个人都躲着旁边的伙伴，朝他泼水，还潜水、喊叫、摔跤——”","“In summer, sir, we wade and swim in the canals and in the river, and each doth duck his neighbour, and splatter him with water, and dive and shout and tumble and—”"
"“要是能这么玩一次，要献出我父亲的王国都值得！请接着讲。”","“’Twould be worth my father’s kingdom but to enjoy it once!Prithee go on.”"
"“我们在齐普塞街五朔节花柱旁唱歌跳舞；我们在沙子里玩，大家都往边上的伙伴身上堆沙子；有时候我们做泥糕点——啊，可爱的泥巴，它的样子并不能讨世界上所有人的喜欢！——我们确实会快活地在泥沼中打滚，殿下，恕我冒昧。”","“We dance and sing about the Maypole in Cheapside; we play in the sand, each covering his neighbour up; and times we make mud pastry—oh the lovely mud, it hath not its like for delightfulness in all the world!—we do fairly wallow in the mud, sir, saving your worship’s presence.”"
"“啊，请不用多讲了，这已经非常好了！如果我能穿上你这样的衣服，光着脚在泥沼里放肆玩一回，哪怕就一回，而没人责备或禁止我的行为的话，我甚至可以放弃王冠！”","“Oh, prithee, say no more, ’tis glorious!If that I could but clothe me in raiment like to thine, and strip my feet, and revel in the mud once, just once, with none to rebuke me or forbid, meseemeth I could forego the crown!”"
"“如果我能有一回穿上，亲爱的殿下，像您穿的那样——就一回——”","“And if that I could clothe me once, sweet sir, as thou art clad—just once—”"
"“啊，你喜欢这样吗？那我们就换换吧。脱掉你的破衣烂衫，穿上这些华丽的衣服，伙伴！虽然这是暂时的快乐，但我的热情丝毫不会减少。我们只是暂时调换，在任何麻烦出现之前再换回来。”","“Oho, would’st like it?Then so shall it be.Doff thy rags, and don these splendours, lad!It is a brief happiness, but will be not less keen for that.We will have it while we may, and change again before any come to molest.”"
"几分钟后，小威尔士王子穿上了汤姆那飘动的破衣服，小贫儿王子则换上了皇家华贵的羽毛装束。两个人一块儿站到大镜子前，瞧，真是奇迹啊，看起来似乎一点儿变化都没有！他们盯着对方看，照照镜子，又望望对方。终于，迷惑的小王子开口道：","A few minutes later the little Prince of Wales was garlanded with Tom’s fluttering odds and ends, and the little Prince of Pauperdom was tricked out in the gaudy plumage of royalty.The two went and stood side by side before a great mirror, and lo, a miracle: there did not seem to have been any change made!They stared at each other, then at the glass, then at each other again.At last the puzzled princeling said—"
"“你觉得怎么样？”","“What dost thou make of this?”"
"“啊，尊敬的殿下，不要叫我回答。我这种地位的人不适合讲这种话的。”","“Ah, good your worship, require me not to answer.It is not meet that one of my degrees should utter the thing.”"
"“那么——我——来说。你的头发、眼睛、声音和举止、身形和身高、脸蛋和神情都和我一模一样。如果我们不穿衣服，没有人能分得清哪个是你，哪个是威尔士王子。而且，因为我穿上了你原先穿的衣服，我似乎应该能够更深切地体会刚才你被那粗暴的士兵——哎呀，你手上那个是不是伤痕？”","“Then will – I – utter it.Thou hast the same hair, the same eyes, the same voice and manner, the same form and stature, the same face and countenance that I bear.Fared we forth naked, there is none could say which was you, and which the Prince of Wales.And, now that I am clothed as thou wert clothed, it seemeth I should be able the more nearly to feel as thou didst when the brute soldier—Hark ye, is not this a bruise upon your hand?”"
"“是的。不过这没什么，殿下您知道，那可怜的士兵——”","“Yes; but it is a slight thing, and your worship knoweth that the poor man-at-arms—”"
"“住嘴！那是件可耻的、残酷的事情！”小王子跺着光脚丫喊道，“如果国王——你一步都别动，等我回来！这是命令！”","“Peace!It was a shameful thing and a cruel!” cried the little prince, stamping his bare foot.“If the King—Stir not a step till I come again!It is a command!”"
"他立刻抓起放在桌子上的一件对国家至关重要的东西收了起来，然后穿着旗子般的破旧衣服跑出门外，飞奔着穿过宫殿院子。他脸上发热，两眼放光。一跑到那扇巨大的门前，他就抓住栅栏使劲摇晃，并喊道：","In a moment he had snatched up and put away an article of national importance that lay upon a table, and was out at the door and flying through the palace grounds in his bannered rags, with a hot face and glowing eyes.As soon as he reached the great gate, he seized the bars, and tried to shake them, shouting—"
"“开门！把大门打开！”","“Open!Unbar the gates!”"
"先前虐待汤姆的守卫立刻遵从了命令。王子刚冲出大门，憋了王子一肚子气的守卫就给了他一记响亮的耳光，打得他晕乎乎地退到了路面上。那守卫还说：","The soldier that had maltreated Tom obeyed promptly; and as the prince burst through the portal, half-smothered with royal wrath, the soldier fetched him a sounding box on the ear that sent him whirling to the roadway, and said—"
"“活该，你这小叫花子，全是因为你，我才被殿下训了一顿！”","“Take that, thou beggar’s spawn, for what thou got’st me from his Highness!”"
"人群哄堂大笑。王子从泥沟里爬出来，愤怒地朝守卫走去，大声道：","The crowd roared with laughter.The prince picked himself out of the mud, and made fiercely at the sentry, shouting—"
"“我是威尔士王子，我本人是神圣不可冒犯的。你竟敢出手打我，你要被绞死的！”","“I am the Prince of Wales, my person is sacred; and thou shalt hang for laying thy hand upon me!”"
"这位士兵举戟致敬，讽刺地说：","The soldier brought his halberd to a present-arms and said mockingly—"
"“向仁慈的殿下致敬。”又转而怒道，“滚开，你这个发了疯的废物！”","“I salute your gracious Highness.”Then angrily—“Be off, thou crazy rubbish!”"
"此时，讥笑的人群向可怜的小王子凑过来，沿路把他推向远处，一边驱赶着他，一边喊：“给王子殿下让路！给威尔士王子让路！”","Here the jeering crowd closed round the poor little prince, and hustled him far down the road, hooting him, and shouting—“Way for his Royal Highness!Way for the Prince of Wales!”"
