"第一章 木屋","Chapter I The Chalet"
"给内阁大臣做过四年私人秘书，而且生活在巴黎，亲眼目睹了许多阴谋诡计的上演，有过这种经历的任何一个年轻人都无法保持完美无缺。事实上，最纯洁的心灵也或多或少会被这座帝王之都纸醉金迷的气息沾染。我们这位年轻的文书很高兴自己不是卡那利，他回了一封信，表示过几天一定给她想要的回复，理由是他所要坦白的事情很重要，另外部里的工作给了他很大的压力。这之后，他便坐上邮车前往勒阿弗尔了。","No young man can be four years private secretary to a cabinet minister, and live in Paris and observe the carrying on of many intrigues, with perfect impunity; in fact, the purest soul is more or less intoxicated by the heady atmosphere of the imperial city.Happy in the thought that he was not Canalis, our young secretary engaged a place in the mail-coach for Havre, after writing a letter in which he announced that the promised answer would be sent a few days later,—excusing the delay on the ground of the importance of the confession and the pressure of his duties at the ministry."
"他还细心地让邮政总局局长给勒阿弗尔的邮政局长写了封便函，让他替自己保密，并多加关照。这样，弗朗索瓦丝·科歇来取信时，埃内斯特便可以见到她，并悄悄地跟着她。他跟着弗朗索瓦丝来到了安古维尔，并看到了在木屋别墅窗户边的莫黛斯特·米尼翁。","He took care to get from the director-general of the post-office a note to the postmaster at Havre, requesting secrecy and attention to his wishes.Ernest was thus enabled to see Francoise Cochet when she came for the letters, and to follow her without exciting observation.Guided by her, he reached Ingouville and saw Modeste Mignon at the window of the Chalet."
"“怎么样，弗朗索瓦丝？”他听那位年轻的姑娘说道。她的仆人回答说：","“Well, Francoise?” he heard the young girl say, to which the maid responded,—"
"“是的，小姐，有一封信。”","“Yes, mademoiselle, I have one.”"
"埃内斯特被这位姑娘的绝世美貌镇住了。他沿原路返回，并向街上的一位行人打听那座华丽庄园的主人叫什么。","Struck by the girl’s great beauty, Ernest retraced his steps and asked a man on the street the name of the owner of that magnificent estate."
"“那座？”那个人朝着别墅点头问道。","“That?” said the man, nodding to the villa."
"“是的，朋友。”","“Yes, my friend.”"
"“哦，它是属于维尔坎先生的，他是勒阿弗尔最富有的船运商，腰缠万贯，连他自己都不知道自己到底有多少钱。”","“Oh, that belongs to Monsieur Vilquin, the richest shipping merchant in Havre, so rich he doesn’t know what he is worth.”"
"“据我所知，历史上没有维尔坎红衣教主啊。”埃内斯特一边往勒阿弗尔走，去赶回巴黎的夜班邮车，一边暗自思忖。他自然向邮政局长问起了维尔坎家族，并得知这个家族确实家财万贯。维尔坎先生有一儿二女，其中一个女儿嫁给了小阿尔图先生。拉布里埃很谨慎，并没表现出对维尔坎家族有所图的样子，但邮政局长已经在狡猾地看着他了。","“There is no Cardinal Vilquin that I know of in history,” thought Ernest, as he walked back to Havre for the night mail to Paris.Naturally he questioned the postmaster about the Vilquin family, and learned that it possessed an enormous fortune.Monsieur Vilquin had a son and two daughters, one of whom was married to Monsieur Althor, junior.Prudence kept La Briere from seeming anxious about the Vilquins; the postmaster was already looking at him slyly."
"“除了家人之外，现在还有其他人跟他们住在一起吗？”他问道。","“Is there there any one staying with them at the present moment,” he asked, “besides the family?”"
"“德埃鲁维尔一家现在在那儿。他们在谈论年轻的公爵同维尔坎二小姐的婚事。”","“The d’Herouville family is there just now.They do talk of a marriage between the young duke and the remaining Mademoiselle Vilquin.”"
"“啊！”埃内斯特想道，“瓦罗亚时代有一位大名鼎鼎的的红衣主教德埃鲁维尔，还有一位令人生畏的元帅，这位元帅在亨利四世时成了公爵。”","“Ha!” thought Ernest; “there was a celebrated Cardinal d’Herouville under the Valois, and a terrible marshal whom they made a duke in the time of Henri IV.”"
"埃内斯特回到了巴黎。光是看莫黛斯特那一眼，就足以让他魂牵梦萦了。他想，无论她富有还是贫穷，只要她有一颗高贵的心灵，他就愿意让她成为德拉布里埃夫人。想到这里，他便决定继续和她通信。","Ernest returned to Paris having seen enough of Modeste to dream of her, and to think that, whether she were rich or whether she were poor, if she had a noble soul he would like to make her Madame de La Briere; and so thinking, he resolved to continue the correspondence."
"啊！你们这些可怜的法国女人，竭尽所能地去隐姓埋名吧，试着在一个文明社会里编织生活的小浪漫吧。然而，在这个文明社会里，邮车往返的时间是要在大街上公布的，所有的信件都要被清点数目，并两次盖上邮戳，第一次是放进邮筒时，第二次是送达时；每座房子都要编号，每家住户的税款经核实后，会被印在门前的金属登记薄上。在不久的将来，还会把每一寸领地划成最小块的土地，连同最细微的特征在内，制成一本硕大的登记薄——一个巨人下令创作的巨作。轻率鲁莽的年轻女士们，不仅要试图逃脱警察的眼睛，还得逃离那些喋喋不休的街谈巷议。在乡下小镇，任何鸡毛蒜皮的琐事都会引发人们的兴趣，比如长官家饭后吃几种甜点啦，一户小康人家门口有几片吃剩的甜瓜啦，人们会竖起耳朵，捕捉勤俭节约的人存金币时发出的叮当声，还会整晚整晚估算村里、镇里，以及省里的收入。莫黛斯特算是侥幸逃脱了埃内斯特的此次侦探之旅。他已经为此感到悔恨了，但哪个巴黎人情愿让自己被一个乡下小姑娘欺骗呢？千万别上当！那句可怕的名言是一个男人心中所有高贵情感的溶解剂。","Ah! you poor women of France, try to remain hidden if you can; try to weave the least little romance about your lives in the midst of a civilization which posts in the public streets the hours when the coaches arrive and depart; which counts all letters and stamps them twice over, first with the hour when they are thrown into the boxes, and next with that of their delivery; which numbers the houses, prints the tax of every tenant on a metal register at the doors (after verifying its particulars), and will soon possess one vast register of every inch of its territory down to the smallest parcel of land, and the most insignificant features of it,—a giant work ordained by a giant.Try, imprudent young ladies, to escape not only the eye of the police, but the incessant chatter which takes place in a country town about the veriest trifles,—how many dishes the prefect has at his dessert, how many slices of melon are left at the door of some small householder,—which strains its ear to catch the chink of the gold a thrifty man lays by, and spends its evenings in calculating the incomes of the village and the town and the department.It was mere chance that enabled Modeste to escape discovery through Ernest’s reconnoitring expedition,—a step which he already regretted; but what Parisian can allow himself to be the dupe of a little country girl?Incapable of being duped! that horrid maxim is the dissolvent of all noble sentiments in man."
