"第一章","Chapter 1"
"这时我姐姐已经气急败坏了，她扑向乔，抓住他两边的络腮胡，把他的脑袋往他身后的墙上撞了好一阵子。我则坐在角落里，心中满是歉疚。 ","By this time, my sister was quite desperate, so she pounced on Joe, and, taking him by the two whiskers, knocked his head for a little while against the wall behind him: while I sat in the corner, looking guiltily on."
"“现在，或许你可以说说发生什么事了。”我姐姐上气不接下气地说，“你这头挨千刀的大呆猪。”","“Now, perhaps you’ll mention what’s the matter,” said my sister, out of breath, “you staring great stuck pig.”"
"乔无助地望着她，又无助地咬了一口面包，然后又看看我。","Joe looked at her in a helpless way; then took a helpless bite, and looked at me again."
"“你知道，皮普，”乔严肃地说，把最后一口面包放进嘴里，用秘密的语调跟我说，仿佛只有我们两个人一样，“你我永远都是朋友，无论任何时候，我都不会告发你的。不过像你那样——”他挪动了一下椅子，在我们两个中间的地上找了找，又继续对我说，“像你那样一口吞下去，太不正常了！”","“You know, Pip,” said Joe, solemnly, with his last bite in his cheek and speaking in a confidential voice, as if we two were quite alone, “you and me is always friends, and I’d be the last to tell upon you, any time.But such a—” he moved his chair and looked about the floor between us, and then again at me—“such a most on common Bolt as that!”"
"“他把面包一口吞下去了，是不是？”我姐姐嚷道。","“Been bolting his food, has he?” cried my sister."
"“你知道，老弟，”乔看着我而不是乔太太，说道，他嘴里还含着那最后一口面包，“我在你这个年纪时，也那样吞过——总是那么做——那时我就已经是个吞食高手了。但是我还没见过像你那么吞的，皮普。吞那么一大块都没被噎死，真是上帝仁慈啊。”","“You know, old chap,” said Joe, looking at me, and not at Mrs. Joe, with his bite still in his cheek, “I Bolted, myself, when I was your age—frequent—and as a boy I’ve been among a many Bolters; but I never see your Bolting equal yet, Pip, and it’s a mercy you aren’t Bolted dead.”"
"我姐姐冲到我面前，抓住我的头发像钓鱼一样把我拎起来，仅仅说了这样几个恐怖的字：“你给我过来，吃一剂药。”","My sister made a dive at me, and fished me up by the hair: saying nothing more than the awful words, “You come along and are dosed.”"
"在当时，某些江湖医生使柏油水作为一种良药流行起来。于是，乔太太的食柜里常常备有柏油水。柏油水又脏又恶心，而正因如此，乔太太相信其有很强的药效。哪怕是在情况最好的时候，我也喝下了不少这种被当成绝佳补品的灵丹妙药。这使得我四处走的时候，总觉得身上在散发出一股新筑成的篱笆的味道。在今晚这个特殊的时刻，我的情况非常紧急，需要喝上一品脱这种混合液。为了让我喝得舒服点，乔太太把我的头夹在她的胳肢窝下，用一种脱靴器拔靴子的姿势，将药水灌进了我的喉咙。乔只喝了半品脱，但却是被迫吞下这柏油水的（这让他很是烦心，他本坐在火炉前慢慢地咀嚼着面包，悠闲地思考着），“因为他刚刚受到了惊吓。”而在我看来，我得说如果刚才那次他没被吓到的话，这次他是着实受到了惊吓。","Some medical beast had revived Tar-water in those days as a fine medicine, and Mrs. Joe always kept a supply of it in the cupboard; having a belief in its virtues correspondent to its nastiness.At the best of times, so much of this elixir was administered to me as a choice restorative that I was conscious of going about, smelling like a new fence.On this particular evening the urgency of my case demanded a pint of this mixture, which was poured down my throat, for my greater comfort, while Mrs. Joe held my head under her arm, as a boot would be held in a boot-jack.Joe got off with half a pint; but was made to swallow that (much to his disturbance, as he sat slowly munching and meditating before the fire), “because he had a turn.”Judging from myself, I should say he certainly had a turn afterwards, if he had had none before."
"当男人或男孩受到良心谴责时，感觉会很糟糕。对一个男孩来说，这种秘密的包袱和另外一种他裤腿里的秘密的包袱叠加起来（我可以保证），绝对是个大大的惩罚。一来，我不得不去偷乔太太的东西——我从来没认为是乔的东西，因为我从不认为这家里的任何一件财产是他的——这让我产生负罪感；二来，无论我坐着还是被叫到厨房做事情，都不得不用一只手按住裤腿里的黄油面包，这两点让我快要疯了。那时，沼泽地吹来的风使得炉火烧得旺了起来，闪着刺眼的光，我觉得我听到外面传来了那个腿上绑着铁链的男人的声音，他曾让我发誓保守秘密。那个声音宣称他现在就要吃东西，他无法也不愿挨饿等到明天了。有时，我又会想到那个年轻人。那个男人花了好大力气才阻止他把侵犯的手伸向我，但要是他等得没有耐性了，或是弄错了时间，认为他应该在今晚而不是明天就来取我的心肝的话，我该怎么办！如果有谁曾经被吓得头发倒竖，那我当时一定也是这样了。但是，或许以前根本没有人被吓成这副样子。","Conscience is a dreadful thing when it accuses man or boy; but when, in the case of a boy, that secret burden cooperates with another secret burden down the leg of his trousers, it is (as I can testify) a great punishment.The guilty knowledge that I was going to rob Mrs. Joe—I never thought I was going to rob Joe, for I never thought of any of the housekeeping property as his—united to the necessity of always keeping one hand on my bread-and-butter as I sat, or when I was ordered about the kitchen on any small errand, almost drove me out of my mind.Then, as the marsh winds made the fire glow and flare, I thought I heard the voice outside, of the man with the iron on his leg who had sworn me to secrecy, declaring that he couldn’t and wouldn’t starve until tomorrow, but must be fed now.At other times, I thought, what if the young man who was with so much difficulty restrained from imbruing his hands in me, should yield to a constitutional impatience, or should mistake the time, and should think himself accredited to my heart and liver tonight, instead of tomorrow! If ever anybody’s hair stood on end with terror, mine must have done so then.But, perhaps, nobody’s ever done?"
"今天是圣诞前夜，我必须坐在荷兰大钟旁边，拿一根铜棒搅拌明天吃的布丁，从七点一直搅到八点。我手里干着活，同时感到腿上负担的重量（这又让我想到那个腿上绑着重物的男人）。我感觉手部的搅动快要把黄油面包从脚踝处震出来了，太难控制了。让人高兴的是，我终于可以脱身了，我的大半个心都已经跑到我的阁楼卧室了。","It was Christmas Eve, and I had to stir the pudding for next day, with a copper-stick, from seven to eight by the Dutch clock.I tried it with the load upon my leg (and that made me think afresh of the man with the load on his leg), and found the tendency of exercise to bring the bread-and-butter out at my ankle, quite unmanageable.Happily, I slipped away, and deposited that part of my conscience in my garret bedroom."
