"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"在这种情况下，发现新煤层将会是一个非常重要的大事件，这一点显而易见。西蒙·福特的消息有可能是关于这个的吗？詹姆斯·斯塔尔不停地问自己这个问题。他是被召唤来征服这片富饶宝地上的另一个角落的吗？若是这样，他将十分乐意。","Under these circumstances, it was plain that the discovery of a new seam of coal would be an important event.Could Simon Ford’s communication relate to a fact of this nature?This question James Starr could not cease asking himself.Was he called to make conquest of another corner of these rich treasure fields?Fain would he hope it was so."
"第二封信曾一度引发他对这个问题的猜测，但现在，他不再考虑那封信了。而且，老工头的儿子在约定好的地点恭候着他。所以，那封匿名信再没有任何价值了。","The second letter had for an instant checked his speculations on this subject, but now he thought of that letter no longer.Besides, the son of the old overman was there, waiting at the appointed rendezvous.The anonymous letter was therefore worth nothing."
"当工程师到达了旅程终点，踏上码头时，那个年轻人便向他走来。","The moment the engineer set foot on the platform at the end of his journey, the young man advanced towards him."
"“你是哈里·福特吗？”工程师急忙问道。","“Are you Harry Ford?” asked the engineer quickly."
"“是的，斯塔尔先生。”","“Yes, Mr. Starr.”"
"“我都该认不出你了，我的孩子。当然了，十年里你都长成一个大人了！”","“I should not have known you, my lad.Of course in ten years you have become a man!”"
"“我立即就认出了您，先生，”年轻的矿工手里拿着一顶帽子，回答道，“您都没变。您看上去和我们在多查特矿井分别时一样。我忘不了那一天。”","“I knew you directly, sir,” replied the young miner, cap in hand.“You have not changed.You look just as you did when you bade us good-by in the Dochart pit.I haven’t forgotten that day.”"
"“戴上你的帽子，哈里，”工程师说道，“雨下得很大，不用为了讲礼貌而把自己弄感冒了。”","“Put on your cap, Harry,” said the engineer.“It’s pouring, and politeness needn't make you catch cold.”"
"“斯塔尔先生，我们要找个地方避避雨吗？”年轻的福特问道。","“Shall we take shelter anywhere, Mr. Starr?” asked young Ford."
"“不用了，哈里。天气会持续这样的。雨会下一整天，而我很心急。我们上路吧。”","“No, Harry.The weather is settled.It will rain all day, and I am in a hurry.Let us go on.”"
"“听从您的吩咐。”哈里回答道。","“I am at your orders,” replied Harry."
"“告诉我，哈里，你父亲好吗？”","“Tell me, Harry, is your father well?”"
"“很好，斯塔尔先生。”","“Very well, Mr. Starr.”"
"“那你母亲呢？”","“And your mother?”"
"“她也很好。”","“She is well, too.”"
"“是你父亲写信让我前往亚罗井的吗？”","“Was it your father who wrote telling me to come to the Yarrow shaft?”"
"“不是，信是我写的。”","“No, it was I.”"
"“那西蒙·福特有没有寄给我一封内容跟第一封信相矛盾的信？”工程师急忙问道。","“Then did Simon Ford send me a second letter to contradict the first?” asked the engineer quickly."
"“没有，斯塔尔先生。”年轻的矿工回答道。","“No, Mr. Starr,” answered the young miner."
"“很好。”斯塔尔说道，没再提及那封匿名信。随后，他继续问道：“你能否告诉我，你父亲让我来是想要我干什么？”","“Very well,” said Starr, without speaking of the anonymous letter.Then, continuing, “And can you tell me what you father wants with me?”"
"“斯塔尔先生，我父亲想亲自告诉您。”","“Mr. Starr, my father wishes to tell you himself.”"
"“但是，你知道是怎么回事吧？”","“But you know what it is?”"
"“我知道，先生。”","“I do, sir.”"
"“好吧，哈里，我不再多问了。那我们上路吧，我等不及要见见西蒙·福特了。顺便问问，他现在住在哪儿？”","“Well, Harry, I will not ask you more.But let us get on, for I’m anxious to see Simon Ford.By-the-bye, where does he live?”"
"“住在煤矿里。”","“In the mine.”"
"“什么！住在多查特矿井里？”","“What! In the Dochart pit?”"
"“是的，斯塔尔先生。”哈里回答道。","“Yes, Mr. Starr,” replied Harry."
"“真的啊！工程结束后，你们一家就从未离开过老煤矿吗？”","“Really! has your family never left the old mine since the cessation of the works?”"
"“一天也没有离开过，斯塔尔先生。您了解我的父亲。他在那里出生，也打算在那里死去！”","“Not a day, Mr. Starr.You know my father.It is there he was born, it is there he means to die!”"
"“我能理解，哈里。我能理解！那煤矿是他出生长大的地方啊！他不愿遗弃它！你们住在那儿快乐吗？”","“I can understand that, Harry.I can understand that!His native mine!He did not like to abandon it!And are you happy there?”"
"“是的，斯塔尔先生，”年轻的矿工回答道，“因为我们彼此爱护，并且我们的需求极少。”","“Yes, Mr. Starr,” replied the young miner, “for we love one another, and we have but few wants.”"
"“好吧，哈里，”工程师说道，“带路吧。”","“Well, Harry,” said the engineer, “lead the way.”"
"他们快速走过卡伦德的街道，几分钟后已把城镇留在了身后。","And walking rapidly through the streets of Callander, in a few minutes they had left the town behind them."
"第三章　多查特矿井","CHAPTER III THE DOCHART PIT"
"哈里·福特今年二十五岁，是个高大健壮的小伙子。因为他相貌看起来有些严肃，表情一贯冷漠，所以自他孩提时起，就极易从矿里的同伴中被认出来。他五官端正，一双深蓝色的眼睛，一头卷发呈栗色而非金色，有一种与生俱来的优雅气质，所有这些使他成为低地人的优秀代表。由于很早便习惯了在煤矿里工作，他强壮坚毅，且勇敢善良。在父亲的引导下，在他自身意愿的驱动下，他很早便开始了学习。在多数孩子尚处在学徒阶段时，他已使自己成为了一个重要人物，确切地说，已成为同伴中的领导者，而在这个竭力消除无知的地方，极少有人是十分无知的。尽管在青年时期的头些年里，哈里一直在挥镐劳动，但这个年轻的矿工从未耽搁过学习——充分学习知识，以使自己跻身矿工高层。如果煤矿不曾遭到遗弃，他必定会接替他父亲成为多查特矿井的工头。","Harry Ford was a fine, strapping fellow of five and twenty.His grave looks, his habitually passive expression, had from childhood been noticed among his comrades in the mine.His regular features, his deep blue eyes, his curly hair, rather chestnut than fair, the natural grace of his person, altogether made him a fine specimen of a lowlander.Accustomed from his earliest days to the work of the mine, he was strong and hardy, as well as brave and good.Guided by his father, and impelled by his own inclinations, he had early begun his education, and at an age when most lads are little more than apprentices, he had managed to make himself of some importance, a leader, in fact, among his fellows, and few are very ignorant in a country which does all it can to remove ignorance.Though, during the first years of his youth, the pick was never out of Harry’s hand, nevertheless the young miner was not long in acquiring sufficient knowledge to raise him into the upper class of the miners, and he would certainly have succeeded his father as overman of the Dochart pit, if the colliery had not been abandoned."
