"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"Through a French window, under sun-blinds not yet drawn up, he preceded her into the room where he was wont to study The Times and the sheets of an agricultural magazine, with huge illustrations of mangold wurzels, and the like, which provided Holly with material for her paint brush.","老乔利恩带她走到一扇落地窗前，掀起百叶帘，来到自己平时读书的房间。除了读《泰晤士报》，他也看农业杂志，上面有大幅的甜菜之类的插图，正好可以用作霍利画画的素材。"
"“Dinner’s in half an hour.","“晚饭半个小时后就好。"
"You’d like to wash your hands!","洗洗手吧！"
"I’ll take you to June’s room.”","我带你去琼的房间。”"
"He saw her looking round eagerly; what changes since she had last visited this house with her husband, or her lover, or both perhaps—he did not know, could not say!","老乔利恩看到艾琳热切地环顾四周；她上次来还是和丈夫一起，或者和情人一起，又或者跟他们都一起来过。这之后发生了多少变化，他不知道，更说不上来！"
"All that was dark, and he wished to leave it so.","这还是个秘密，他也不打算弄明白。"
"But what changes!","但确实变了很多！"
"And in the hall he said:","在厅堂里，他说："
"“My boy Jo’s a painter, you know.","“我儿子乔是个画家，你知道。 "
"He’s got a lot of taste.","他很有品位。"
"It isn’t mine, of course, but I’ve let him have his way.”","当然，跟我的不同，不过我由着他了。”"
"She was standing very still, her eyes roaming through the hall and music room, as it now was—all thrown into one, under the great skylight.","她站在那里，一动不动，目光在厅堂和琴房间缓缓移动着。现在，大天窗底下的这两间房已经被打通成了一间。"
"Old Jolyon had an odd impression of her.","她给了老乔利恩一种奇妙的感觉。"
"Was she trying to conjure somebody from the shades of that space where the colouring was all pearl-grey and silver?","她莫不是想从那块珍珠灰和银色空间的阴影中用意念唤出一个人？"
"He would have had gold himself; more lively and solid.","他自己倒是想用金色的，生动又稳重。"
"But Jo had French tastes, and it had come out shadowy like that, with an effect as of the fume of cigarettes the chap was always smoking, broken here and there by a little blaze of blue or crimson colour.","但是乔的品位是法国式的，家里的装修那样朦胧虚幻，就像这小子常抽烟吐出的烟雾一般，还缀上星星点点的蓝色或深红色。"
"It was not his dream!","这可不是他想要的！"
"Mentally he had hung this space with those gold-framed masterpieces of still and stiller life which he had bought in days when quantity was precious.","他原想在这间屋子挂上金框的静物画和更静的静物画佳作；他当时买的时候，人们更讲究收藏的数量。"
"And now where were they?","这些画现在都哪里去了？"
"Sold for a song!","都贱卖了！"
"That something which made him, alone among Forsytes, move with the times had warned him against the struggle to retain them.","在福赛特家族成员中，他是唯一紧跟时代的人，正因为如此，他努力说服自己不保留这些画。"
"But in his study he still had ‘Dutch Fishing Boats at Sunset.’","但他的书房里还挂着那幅《日暮时分的荷兰渔船》。"
"He began to mount the stairs with her, slowly, for he felt his side.","他们一起上楼，上得很慢，因为他左肋有点儿疼。 "
"“These are the bathrooms,” he said, “and other arrangements.","“这是浴室，”他说，“还有洗手间。"
"I’ve had them tiled.","我都铺了瓷砖。"
"The nurseries are along there.","孩子的房间在那边。"
"And this is Jo’s and his wife’s.","这儿是乔和他妻子的房间。"
"They all communicate.","房间是通着的。"
"But you remember, I expect.”","我想，你应该还记得。”"
"Irene nodded.","艾琳点点头。"
"They passed on, up the gallery and entered a large room with a small bed, and several windows.","他们沿着走廊继续往前，走进了一个大房间，里面摆着一张小床，有几扇窗户。"
"“This is mine,” he said.","“我就住这儿。”他说。"
"The walls were covered with the photographs of children and watercolour sketches, and he added doubtfully:","墙上挂着许多孩子的照片和水彩画，他迟疑着说："
"“These are Jo’s.","“都是乔的画。"
"The view’s first-rate.","这儿视野非常好。"
"You can see the Grand Stand at Epsom in clear weather.”","天气晴朗的时候能看见埃普索姆跑马场的大看台。”"
"The sun was down now, behind the house, and over the ‘prospect’ a luminous haze had settled, emanation of the long and prosperous day.","此时，太阳已经西沉，落到了房子后面。明亮的雾霭飘浮在那片“景色”之上，仿佛映射着这悠长而繁荣的一天。"
"Few houses showed, but fields and trees faintly glistened, away to a loom of downs.","望不见什么房子，不过田野和树木若隐若现，远处是一片朦胧的高地。"
"“The country’s changing,” he said abruptly, “but there it’ll be when we’re all gone.","“乡下也变了，”他突然说道，“但即使我们都不在了，它还会在。"
"Look at those thrushes—the birds are sweet here in the mornings.","你看那些画眉，早上这儿的鸟叫声真动听。"
"I’m glad to have washed my hands of London.”","真高兴我与伦敦再无瓜葛。”"
"Her face was close to the window pane, and he was struck by its mournful look.","艾琳的脸靠着窗格；看到她悲戚的神情，老乔利恩心中一动。"
"‘Wish I could make her look happy!’ he thought.","“真希望能让她开心起来！”他想着。"
"‘A pretty face, but sad!’","“多美的一张脸，却这么哀伤。”"
"And taking up his can of hot water he went out into the gallery.","他提起房里那罐热水，走出房间来到走廊。"
"“This is June’s room,” he said, opening the next door and putting the can down; “I think you’ll find everything.”","“这是琼的房间，”他说着打开了隔壁房间的门，把罐子放下，“我想你可以自己看看。”"
"And closing the door behind her he went back to his own room.","他走出去，关上她身后的门，回到自己的房间。"
"Brushing his hair with his great ebony brushes, and dabbing his forehead with eau de Cologne, he mused.","他用那柄大乌木梳理了理头发，往额头拍了点儿古龙水，陷入沉思。"
"She had come so strangely—a sort of visitation; mysterious, even romantic, as if his desire for company, for beauty, had been fulfilled by whatever it was which fulfilled that sort of thing.","她就这么来了——算是种天赐吧；有些神秘，甚至还带点儿浪漫。似乎他对有人为伴和对美好的渴望都得到了满足；究竟是什么满足了这些东西？还是先别去追问了。"
"And before the mirror he straightened his still upright figure, passed the brushes over his great white moustache, touched up his eyebrows with eau de Cologne, and rang the bell.","站在镜子前，他挺了挺还算笔直的腰，用刷子在他的大白胡子上刷了几下，又用古龙水沾了沾眉毛，然后摇响了铃。"
"“I forgot to let them know that I have a lady to dinner with me.","“我忘了告诉他们，今晚有位女士与我一同用餐。"
"Let cook do something extra, and tell Beacon to have the landau and pair at half-past ten to drive her back to Town to-night.","告诉厨师加点儿菜，还有，让贝肯今晚十点半备好马车和两匹马，送她回城。"
"Is Miss Holly asleep?”","霍利小姐睡了吗？”"
"The maid thought not.","女仆说可能还没。"
"And old Jolyon, passing down the gallery, stole on tiptoe towards the nursery, and opened the door whose hinges he kept specially oiled that he might slip in and out in the evenings without being heard.","老乔利恩踮着脚尖沿着走廊来到孩子的房间，打开门——他特意给门的铰链上了油，这样他就可以在夜晚溜进溜出，而不吵醒霍利。"
"But Holly was asleep, and lay like a miniature Madonna, of that type which the old painters could not tell from Venus, when they had completed her.","霍利已经睡着了，她躺在那里，像个小小的圣母玛利亚，就是那种连老画家完成这件作品后都无法区分这究竟是圣母还是维纳斯形象的效果。"
