"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"Conscious of Wilfrid biting his lips, of Sir Lawrence taking that in, of the amount of silk leg she was showing, of her black and cream teacups, she adjusted these matters.","弗勒留意到威尔弗里德咬着双唇，而劳伦斯爵士也注意到了威尔弗里德的举动。她知道她露出了一截穿着丝袜的腿，还有她桌上奶油色和黑色相间的茶杯。她对这一切都心中有数。"
"A flutter of her white lids—Desert ceased to bite his lips; a movement of her silk legs—Sir Lawrence ceased to look at him.","她那白眼皮一翻，德赛特立刻不咬嘴唇了；她那穿丝袜的腿一动，劳伦斯爵士立刻不再看威尔弗里德了。"
"Holding out her cups, she said:","她伸手放下茶杯，说道："
"“I suppose I’m not modern enough?”","“我想我还不够时髦吧？”"
"Desert, moving a bright little spoon round in his magpie cup, said without looking up:","德赛特用一把光亮的小勺在他那只绘着喜鹊的茶杯里搅动着，头也不抬地说："
"“As much more modern than the moderns, as you are more ancient.”","“你比现代人更时髦，比时髦的人更复古。”"
"“‘Ware poetry!” said Michael.","“注意诗律！”迈克尔说。"
"But when he had taken his father to see the new cartoons by Aubrey Greene, she said:","待迈克尔带他父亲去参观奥布里·格林新创作的漫画时，她说："
"“Kindly tell me what you meant, Wilfrid.”","“威尔弗里德，你说这话是什么意思。”"
"Desert’s voice seemed to leap from restraint.","德赛特的声音似乎是强挤出来的。"
"“What does it matter?","“这话怎么了？"
"I don’t want to waste time with that.”","我不想为此耽误时间。”"
"“But I want to know.","“可是我想知道。"
"It sounded like a sneer.”","这话听上去像是在讽刺。”"
"“A sneer?","“讽刺？"
"From me?","我说的？"
"Fleur!”","弗勒！”"
"“Then tell me.”","“那告诉我到底是什么意思。”"
"“I meant that you have all their restlessness and practical get-thereness; but you have what they haven’t, Fleur—power to turn one’s head.","“我的意思是，你具有了他们那种不安分以及务实的定要成功的精神，但弗勒，你还具有他们所没有的东西——使人迷糊的能力。"
"And mine is turned.","我就是被你弄迷糊的。"
"You know it.”","这点你心里明白。”"
"“How would Michael like that—from YOU, his best man?”","“要是迈克尔听见这话该有何感想——出自你，他的男傧相之口？”"
"Desert moved quickly to the windows.","德赛特快速走到窗边。"
"Fleur took Ting-a-ling on her lap.","弗勒把小叮铃抱到腿上。"
"Such things had been said to her before; but from Wilfrid it was serious.","类似的话以前也有人对她说过，但出自威尔弗里德之口，事情就变得严重了。"
"Nice to think she had his heart, of course!","但想到她已经占有了他的心，自然值得高兴！"
"Only, where on earth could she put it, where it wouldn’t be seen except by her?","只是，她究竟要把这颗心放在哪里呢，一个除她之外别人都不知道的地方？"
"He was incalculable—did strange things!","他可是个让人猜不透的人——干些令人费解的古怪事。"
"She was a little afraid—not of him, but of that quality in him.","她有些害怕——不是怕他，而是害怕他那怪脾气。"
"He came back to the hearth, and said:","他走回到壁炉前，说："
"“Ugly, isn’t it?","“很丑恶，是不是？"
"Put that dam’ dog down, Fleur; I can’t see your face.","弗勒，把那只该死的狗放下去。我看不见你的脸了。"
"If you were really fond of Michael—I swear I wouldn’t; but you’re not, you know.”","你要是真心喜欢迈克尔的话——我发誓我不会这样做。但你并不喜欢他，你心里明白。”"
"Fleur said coldly:","弗勒冷冷地说："
"“You know very little; I AM fond of Michael.”","“你知道得太少了。我是喜欢迈克尔的。”"
"Desert gave his little jerky laugh.","德赛特急促地笑笑。"
"“Oh yes; not the sort that counts.”","“不错，但算不上爱。”"
"Fleur looked up.","弗勒抬起头来。"
"“It counts quite enough to make one safe.”","“能给人安全感，就算得上了。”"
"“A flower that I can’t pick.”","“这是一朵我采不到的花。”"
"Fleur nodded.","弗勒点点头。"
"“Quite sure, Fleur?","“弗勒，你肯定吗？"
"Quite, quite sure?”","非常、非常肯定吗？”"
"Fleur stared; her eyes softened a little, her eyelids, so excessively white, drooped over them; she nodded.","弗勒凝视着他。她的眼神变得柔和了一些，她闭上那白得过分的眼皮，点了点头。"
"Desert said slowly:","德赛特慢吞吞地说："
"“The moment I believe that, I shall go East.”","“一旦我相信你说的话，我就去东方。”"
"“East?”","“东方？”"
"“Not so stale as going West, but much the same—you don’t come back.”","“不像上西天那样乏味，但结果是一样的——一去就再也不回来了。”"
"Fleur thought: ‘The East?","弗勒心想：“东方？"
"I should love to know the East!","我倒很想去东方看看！"
"Pity one can’t manage that, too.","遗憾的是，这无法办到。"
"Pity!’","遗憾啊！”"
"“You won’t keep me in your Zoo, my dear.","“亲爱的，你不可能把我关在你的动物园里。"
"I shan’t hang around and feed on crumbs.","我也不会在此逗留，并以残羹冷炙为生。"
"You know what I feel—it means a smash of some sort.”","你知道我是什么感觉吗——那就意味着决裂。”"
"“It hasn’t been my fault, has it?”","“这不是我的过错，是吧？”"
"“Yes; you’ve collected me, as you collect everybody that comes near you.”","“是你的错，是你把我招揽来的，就像你招揽着每个来到你身边的人一样。”"
"“I don’t know what you mean.”","“我不明白你的意思。”"
"Desert bent down, and dragged her hand to his lips.","德赛特弯腰，把她的手慢慢拉近自己的唇边。"
"“Don’t be riled with me; I’m too unhappy.”","“别生我的气，我非常难过。”"
"Fleur let her hand stay against his hot lips.","弗勒让自己的手贴着他那炽热的嘴唇。"
"“Sorry, Wilfrid.”","“对不起，威尔弗里德。”"
"“All right, dear.","“好吧，亲爱的。"
"I’ll go.”","我走了。”"
"“But you’re coming to dinner tomorrow?”","“那你明天来吃饭吗？”"
"Desert said violently:","德赛特激动地说："
"“TO-MORROW?","“明天？"
"Good God—no!","上帝啊——绝不来！"
"What d’you think I’m made of?”","在你眼里我算什么？”"
"He flung her hand away.","他甩开她的手。"
"“I don’t like violence, Wilfrid.”","“我不喜欢见你如此粗暴，威尔弗里德。”"
"“Well, good-bye; I’d better go.”","“好吧，再见。我还是走吧。”"
"The words “And you’d better not come again” trembled up to her lips, but were not spoken.","“你最好再也别来了”这句话已到嘴边，但她还是没说出口。"
"Part from Wilfrid—life would lose a little warmth!","如果和威尔弗里德分手——那么她的生活将失去一丝温暖。"
"She waved her hand.","她挥挥手。"
"He was gone.","他走了。"
"She heard the door closing.","她听到大门关上的声音。"
"Poor Wilfrid!—nice to think of a flame at which to warm her hands!","可怜的威尔弗里德！——一想到有一团可以暖手的火焰就令人兴奋！"
"Nice but rather dreadful!","兴奋，却更令人胆战心惊！"
"And suddenly, dropping Ting-a-ling, she got up and began to walk about the room.","突然，她放下小叮铃，站起来，在房间里踱起步来。"
"To-morrow!","明天！"
"Second anniversary of her wedding-day!","她结婚两周年纪念日！"
"Still an ache when she thought of what it had not been.","一想到还未实现的事，她心中不免难过。"
"But there was little time to think—and she made less.","可是没什么时间再去想了——况且她也不愿意再去想了。"
"What good in thinking?","想了又有什么好处呢？"
"Only one life, full of people, of things to do and have, of things wanted—a life only void of—one thing, and that—well, if people had it, they never had it long!","唯一的一种生活，充斥着人、要做的和拥有的事、想要得到的东西——这种生活唯一缺少的——一件东西，而且——对，人们即使得到它，也不会永远拥有它！"
"On her lids two tears, which had gathered, dried without falling.","两滴泪珠凝聚在她的眼睑上，干了，没有掉下来。"
"Sentimentalism!","多愁善感！"
"No!","不！"
"The last thing in the world—the unforgivable offence!","这是世界上最不应该有的东西——是不可饶恕的罪过！"
"Whom should she put next whom tomorrow?","明天她该把谁安排坐在谁的身旁呢？"
"And whom should she get in place of Wilfrid, if Wilfrid wouldn’t come—silly boy!","最重要的是，她到底找谁来填补威尔弗里德的位置呢？要是他不来的话——这个傻瓜！"
"One day—one night—what difference?","白天——晚上——有什么区别呢？"
"Who should sit on her right, and who on her left?","谁坐在她的右边，谁又该坐在她的左边呢？"
"Was Aubrey Greene more distinguished, or Sibley Swan?","奥布里·格林和西布莉·斯旺，谁更有名一些呢？"
"Were they either as distinguished as Walter Nazing or Charles Upshire?","他们两个人都像沃尔特·内津一样出名，还是都像查尔斯·厄普夏一样有名呢？"
"Dinner of twelve, exclusively literary and artistic, except for Michael and Alison Charwell.","晚宴的12人中，除了迈克尔和艾莉森·查韦尔之外，其他都是文学界和艺术界的。"
"Ah!","啊！"
"Could Alison get her Gurdon Minho—just one writer of the old school, one glass of old wine to mellow effervescence?","艾莉森能帮她请到格登·明霍吗？——一位老派作家，一杯令人兴奋的陈年佳酿。"
"He didn’t publish with Danby and Winter; but he fed out of Alison’s hand.","他没有在丹比&温特出版社出过书，但还是很给艾莉森面子的。"
"She went quickly to one of the old tea chests, and opened it.","她迅速走到一个陈旧的茶柜旁，打开它。"
"Inside was a telephone.","里面是一部电话。"
"“Can I speak to Lady Alison—Mrs. Michael Mont... Yes... That you, Alison?...","“我能和艾莉森夫人通话吗——是迈克尔·蒙特夫人……对……是你吗，艾莉森？"
"Fleur speaking.","我是弗勒啊。"
"Wilfrid has fallen through tomorrow night... Is there any chance of your bringing Gurdon Minho?","威尔弗里德明晚不来了……你能邀请格登·明霍来吗？"
"I don’t know him, of course; but he might be interested.","我当然不认识他了，但他也许会感兴趣的。"
"You’ll try?...","那你试试？……"
"That’ll be ever so delightful.","那可真让人兴奋。"
"Isn’t the ‘Snooks’ Club meeting rather exciting?","‘轻蔑’俱乐部的会议是不是很热闹？"
"Bart says they’ll eat each other now they’ve split... About Mr. Minho.","准爵爷说他们现在已经分裂了，一定要拼个你死我活……说关于明霍先生的事吧。"
"Could you let me know to-night?","今晚你能给我确切消息吗？"
"Thanks—thanks awfully!...","谢谢——真是万分感激！……"
"Goodbye!”","再见！”"
"Failing Minho, whom?","假如明霍先生邀请不到，那么该请谁好呢？"
"Her mind hovered over the names in her address book.","她的脑子里反复思考着通讯录中的人名。"
"At so late a minute it must be some one who didn’t stand on ceremony; but except Alison, none of Michael’s relations would be safe from Sibley Swan or Nesta Gorse, and their subversive shafts; as to the Forsytes—out of the question; they had their own sub-acid humour (some of them), but they were not modern, not really modern.","剩下的时间不多了，必须找一个不拘礼节的人。除了艾莉森以外，迈克尔的亲戚中还没有一个人能应付西布莉·斯旺或内丝塔·戈斯，并应对他们那些刻薄话；至于福赛特家族——就更不必多说了，他们具有独特的晦涩的幽默（他们中的一些人），但他们绝不是真正时髦的人。"
"Besides, she saw as little of them as she could—they dated, belonged to the dramatic period, had no sense of life without beginning or end.","此外，她对他们很看不上眼——毕竟他们已经过时了，他们属于戏剧时代，根本不懂得没有开始或结局的人生。"
"No!","不！"
"If Gurdon Minho was a frost, it would have to be a musician, whose works were hieroglyphical with a dash of surgery; or, better, perhaps, a psycho-analyst.","如果格登·明霍不肯来，那就得邀请一位音乐家，而他们的作品都像外科手术一样晦涩难懂。或许还是邀请一位精神分析学家更好一些。"
"Her fingers turned the pages till she came to those two categories.","她用手指一页页翻着，直到那两栏，她停了下来。"
"Hugo Solstis?","雨果·苏斯迪斯？"
"A possibility; but suppose he wanted to play them something recent?","值得考虑，但是如果他要表演近期的作品，该怎么办？"
