"In the Days of the Comet","彗星来临"
"There we sang and bowed and heard sonorous prayers and joined in sonorous responses, and rose with a congregational sigh refreshed and relieved when the doxology, with its opening “Now to God the Father, God the Son,” bowed out the tame, brief sermon.","我们在教堂里唱圣歌、行礼，听人大声诵祷文，然后也跟着大声应和。随着一声“赞颂圣父，赞颂圣子”，牧师开始诵读上帝赞美诗。听着乏味、简单的布道，我们站起身来，发出会众的叹息，感觉精神振作，得到了解脱。"
"There was a hell in that religion of my mother’s, a red-haired hell of curly flames that had once been very terrible; there was a devil, who was also ex officio the British King’s enemy, and much denunciation of the wicked lusts of the flesh; we were expected to believe that most of our poor unhappy world was to atone for its muddle and trouble here by suffering exquisite torments for ever after, world without end, Amen.","在我母亲的宗教世界里，有一个地狱，翻卷着火焰的红发地狱，那地狱曾经极其恐怖。地狱里有一个魔鬼，他的权力和英国国王一样，因邪恶的肉欲而被人们痛骂。教义试图让我们相信，我们这个世界大部分的不幸都是为了通过承受无尽的、极度的痛苦补偿世上的混乱与麻烦。苦海无边，阿门。"
"But indeed those curly flames looked rather jolly.","而事实上，那些翻卷的火焰看上去却很喜庆。"
"The whole thing had been mellowed and faded into a gentle unreality long before my time; if it had much terror even in my childhood I have forgotten it, it was not so terrible as the giant who was killed by the Beanstalk, and I see it all now as a setting for my poor old mother’s worn and grimy face, and almost lovingly as a part of her.","而这一切已渐渐模糊，退化成很久以前的一种柔和的幻象。即使在被我遗忘的童年，这些东西都令我满心恐惧的话，它也不如被宾斯托克杀死的巨人可怕。而如今，我仅仅将这一切看作是烘托我可怜的老母亲那张憔悴、肮脏的脸的背景，而且它几乎变成了她可爱的一部分。"
"And Mr. Gabbitas, our plump little lodger, strangely transformed in his vestments and lifting his voice manfully to the quality of those Elizabethan prayers, seemed, I think, to give her a special and peculiar interest with God.","还有加比塔斯先生，我们家的房客，身材富态，他一穿上牧师袍就像变了一个人似的，还提高了嗓门，很有男子气概，颇似伊丽莎白时代的祈祷者。在我看来，他似乎使母亲对上帝有了特殊、奇特的兴趣。"
"She radiated her own tremulous gentleness upon Him, and redeemed Him from all the implications of vindictive theologians; she was in truth, had I but perceived it, the effectual answer to all she would have taught me.","母亲向上帝表现出了小心翼翼的顺从，使上帝与怀恨在心的神学家们毫无关联。我能感觉出她说的是真话，与她本应教我的确实很吻合。"
"So I see it now, but there is something harsh in the earnest intensity of youth, and having at first taken all these things quite seriously, the fiery hell and God’s vindictiveness at any neglect, as though they were as much a matter of fact as Bladden’s iron-works and Rawdon’s pot-bank, I presently with an equal seriousness flung them out of my mind again.","现在我明白了这个道理，但在年轻气盛有过一些坎坷，因此在一开始，我对这一切都很当真。对于什么地狱烈焰呀，上帝会惩罚一切不敬行为呀，我都以为是事实，就像布莱登铁匠铺里的铁器，罗顿瓷器厂的瓷器一样。而后，我也以同样的严肃态度把这些观念从我的脑子里扔了出去。"
"Mr. Gabbitas, you see, did sometimes, as the phrase went, “take notice” of me, he had induced me to go on reading after I left school, and with the best intentions in the world and to anticipate the poison of the times, he had lent me Burble’s “Scepticism Answered,” and drawn my attention to the library of the Institute in Clayton.","你可以看出，加比塔斯先生有时确实挺……那话怎么说的来着，挺“关注”我的。他曾劝我离开学校后继续读书，告诉我要对世界抱有最美好的希望，同时也要预料到时代的弊病。他曾借给我看伯布的《答怀疑论》，将我的注意力转移到了克莱顿学院的图书馆。"
"The excellent Burble was a great shock to me.","伯布的优秀令我大为震撼。"
"It seemed clear from his answers to the sceptic that the case for doctrinal orthodoxy and all that faded and by no means awful hereafter, which I had hitherto accepted as I accepted the sun, was an extremely poor one, and to hammer home that idea the first book I got from the Institute happened to be an American edition of the collected works of Shelley, his gassy prose as well as his atmospheric verse.","他给怀疑论者的答复中似乎很清楚地说明了一点：说明教义的正统观念的案例、一切渐渐消失的东西，以及一点也不可怕的来生，这些都是极其乏味的。而那时我早已完全接受来生这个概念，就像认定世上有太阳一样。为了更加透彻地理解伯布这本书的思想，我从学院图书馆借的第一本书就是一本美国出版的雪莱选集，收录的是他夸夸其谈的散文和煽情的诗句。"
"I was soon ripe for blatant unbelief.","很快，我就成熟了，明目张胆地不再信仰宗教教义。"
"And at the Young Men’s Christian Association I presently made the acquaintance of Parload, who told me, under promises of the most sinister secrecy, that he was “a Socialist out and out.”","后来我在青年教会上结识了帕罗德，在我发誓一定保守秘密后，他告诉我他是一个“彻头彻尾的社会主义者”。"
"He lent me several copies of a periodical with the clamant title of The Clarion, which was just taking up a crusade against the accepted religion.","那时帕罗德借给了我几本刊物，刊名颇有号召性，叫做《号角》，这本刊物那时正在对人们普遍信仰的宗教发起抨击。"
"The adolescent years of any fairly intelligent youth lie open, and will always lie healthily open, to the contagion of philosophical doubts, of scorns and new ideas, and I will confess I had the fever of that phase badly.","任何有些才气的年轻人在青春期时总会接受、且十分容易接受哲学怀疑论的影响，对别人的蔑视和新观点也都毫无防范。我承认，那时我在那方面表现得十分狂热。"
"Doubt, I say, but it was not so much doubt—which is a complex thing—as startled emphatic denial.","我将之称为怀疑，但它又不是令人震惊的断然否定，怀疑是个挺复杂的概念。"
"“Have I believed THIS!”","“我相信了这个观点！”"
