"第一章 唯一的幸存者","CHAPTER I THERE IS NO ONE LEFT"
"玛丽依然沉默不语。梅德洛克太太对她明显的冷漠感到非常郁闷，但还是深吸一口气，继续讲了下去。","Mary said nothing at all, and Mrs. Medlock looked rather discomfited by her apparent indifference, but, after taking a breath, she went on."
"“尽管那房子很大很宏伟，却有些阴森。克雷文先生用自己的方式为这所房子感到自豪，他的方式也足够阴森。房子有六百多年的历史了，地处旷野边上。里面有接近一百个房间，不过大部分都锁了起来。里面有画、精美的古董家具、还有很多颇有年代的东西。房子四周是一个大园子，长长的树枝拖到了地上。”她停顿了一下，喘了口气，“但是别的就什么都没有了。”她突然停了下来。","“Not but that it’s a grand big place in a gloomy way, and Mr. Craven’s proud of it in his way—and that’s gloomy enough, too.The house is six hundred years old and it’s on the edge of the moor, and there’s near a hundred rooms in it, though most of them’s shut up and locked.And there’s pictures and fine old furniture and things that’s been there for ages, and there’s a big park round it and gardens and trees with branches trailing to the ground—some of them.”She paused and took another breath.“But there’s nothing else,” she ended suddenly."
"玛丽不由自主地开始听了起来。这一切听起来和印度都是那么的不同，而一切新奇的东西都非常吸引她。但她不想表现出自己感兴趣。这也是她不招人喜欢的做法之一。于是她继续安静不动地坐着。","Mary had begun to listen in spite of herself.It all sounded so unlike India, and anything new rather attracted her.But she did not intend to look as if she were interested.That was one of her unhappy, disagreeable ways.So she sat still."
"“好吧，”梅德洛克太太说，“你觉得怎么样？”","“Well,” said Mrs. Medlock.“What do you think of it?”"
"她回答道：“没什么。我对这种地方一无所知。”","“Nothing,” she answered.“I know nothing about such places.”"
"梅德洛克太太短促地笑出声来。","That made Mrs. Medlock laugh a short sort of laugh."
"“呵呵！”她说，“但是你看起来像个老妇人。这你也不介意么？”","“Eh!” she said, “but you are like an old woman.Don’t you care?”"
"玛丽回答道：“我介不介意都无所谓。”","“It doesn’t matter” said Mary, “whether I care or not.”"
"“这倒是一点儿都不假。”梅德洛克太太说，“确实无所谓。我不知道你为什么会被送来米瑟斯韦特庄园寄养，也许这是最简单的办法吧。毫无疑问的，他绝对不会因为你而给自己惹麻烦。他从不为别人的事情麻烦自己。”","“You are right enough there,” said Mrs. Medlock.“It doesn’t.What you’re to be kept at Misselthwaite Manor for I don’t know, unless because it’s the easiest way.He’s not going to trouble himself about you, that’s sure and certain.He never troubles himself about no one.”"
"她突然像是想起什么似的，停了下来。","She stopped herself as if she had just remembered something in time."
"“他是个驼背。”她说道，“这可害苦了他。他年轻时过得很苦，他的钱和大房子都是在他结婚后才派上用场的。”","“He’s got a crooked back,” she said.“That set him wrong.He was a sour young man and got no good of all his money and big place till he was married.”"
"尽管玛丽想表现出不关心，眼睛还是不由自主地转向梅德洛克太太。她从没想到过驼背还能结婚，还是小小吃了一惊。梅德洛克太太把一切看在了眼里。本来就很健谈的她，说得更加起劲了。这多少也是个打发时间的办法。","Mary’s eyes turned toward her in spite of her intention not to seem to care.She had never thought of the hunchback’s being married and she was a trifle surprised.Mrs. Medlock saw this, and as she was a talkative woman she continued with more interest.This was one way of passing some of the time, at any rate."
"“她甜美漂亮。克雷文先生为了找到她想要的一片草，可以跑遍全世界。人们都觉得她不会嫁给他，但她确实嫁了。人们都说她是图他的钱才嫁给他的。但她不是，绝对不是。”她非常肯定地说，“她死的时候——”","“She was a sweet, pretty thing and he’d have walked the world over to get her a blade o’ grass she wanted.Nobody thought she’d marry him, but she did, and people said she married him for his money.But she didn’t—she didn’t,” positively.“When she died—”"
"玛丽不自觉地跳了起来。","Mary gave a little involuntary jump."
"“啊，她死了吗！”她禁不住惊呼道。这让她想到自己读过的一个法国童话故事《利凯小簇》。故事讲的就是一个穷驼背和一个漂亮公主的故事。她突然开始可怜起阿奇博尔德·克雷文先生了。","“Oh! did she die!” she exclaimed, quite without meaning to.She had just remembered a French fairy story she had once read called “Riquet a la Houppe.”It had been about a poor hunchback and a beautiful princess and it had made her suddenly sorry for Mr. Archibald Craven."
"“对，她死了。”梅德洛克太太回答说，“自此以后他就更加古怪了。他不关心任何人。也不见人。他常常外出。呆在庄园里的时候，也总是把自己锁在园子的西翼，除了皮切尔不见任何人。皮切尔是一个老人，从先生小时候就开始照料他，很了解他的脾性。”","“Yes, she died,” Mrs. Medlock answered.“And it made him queerer than ever.He cares about nobody.He won’t see people.Most of the time he goes away, and when he is at Misselthwaite he shuts himself up in the West Wing and won’t let any one but Pitcher see him.Pitcher’s an old fellow, but he took care of him when he was a child and he knows his ways.”"
"这一切听起来像是书中的故事，玛丽听了怎么也高兴不起来。故事里有个有上百间房间的大宅，大宅里有一百个房间，几乎所有的房门都紧闭且上了锁——大宅在旷野旁——无论旷野是什么样子，听起来都让人感到绝望。还有一个把自己关在房间里的驼背男人！玛丽嘴唇紧闭盯着窗外。大雨像倾斜的灰线，顺着窗棂往下流。这一切看起来都是那么自然。要是那个美丽的妻子还活着的话，她也许会像自己的妈妈一样，穿着满是蕾丝的长袍，跑进跑出参加各种聚会。这样一来，气氛就会活跃很多。但她已经死了。","It sounded like something in a book and it did not make Mary feel cheerful.A house with a hundred rooms, nearly all shut up and with their doors locked—a house on the edge of a moor—whatsoever a moor was—sounded dreary.A man with a crooked back who shut himself up also!She stared out of the window with her lips pinched together, and it seemed quite natural that the rain should have begun to pour down in gray slanting lines and splash and stream down the window-panes.If the pretty wife had been alive she might have made things cheerful by being something like her own mother and by running in and out and going to parties as she had done in frocks “full of lace.”But she was not there any more."
