"第一章 枪炮俱乐部","CHAPTER I THE GUN CLUB"
"“我们的朋友马斯顿总是爱开玩笑，甚至在一些严肃的问题上也是。”少校大声说道；“不过请他放心，我一会儿要提出的火药重量绝对可以满足他这位大炮专家的胃口。在战争期间，对于那些超大型的大炮来说，火药的重量仅为炮弹重量的十分之一。我这些话只是就统计数据而言，没有别的意思。","“Our friend Maston is always at his jokes, even in serious matters,” cried the major; “but let him make his mind easy, I am going presently to propose gunpowder enough to satisfy his artillerist’s propensities.I only keep to statistical facts when I say that, during the war, and for the very largest guns, the weight of the powder was reduced, as the result of experience, to a tenth part of the weight of the shot.”"
"“完全正确。”摩根说；“不过，在决定多少火药才能产生足够的冲力之前，我认为应该——”","“Perfectly correct,” said Morgan; “but before deciding the quantity of powder necessary to give the impulse, I think it would be as well——”"
"“我们将不得不使用大颗的火药，”少校继续说道，“它燃烧起来比小颗的火药更快。”","“We shall have to employ a large-grained powder,” continued the major; “its combustion is more rapid than that of the small.”"
"“那是毫无疑问的，”摩根回答说，“但是大颗火药极具破坏性，而且大炮的弹膛也得相应加大。”","“No doubt about that,” replied Morgan; “but it is very destructive, and ends by enlarging the bore of the pieces.”"
"“的确，大颗火药是会破坏那些长年使用的大炮，可是对于我们的哥伦比亚大炮而言，情况就不同了。我们会使爆炸没有危险，而且，为了充分发挥其力学效应，火药必须在瞬间被点燃。”","“Granted; but that which is injurious to a gun destined to perform long service is not so to our Columbiad.We shall run no danger of an explosion; and it is necessary that our powder should take fire instantaneously in order that its mechanical effect may be complete.”"
"“我们必须弄许多点火孔，”马斯顿说，“在同一时刻从不同点将其点燃。”","“We must have,” said Maston, “several touch-holes, so as to fire it at different points at the same time.”"
"“当然，”埃尔芬斯通说；“但是那样会使炮弹的发射更加困难。所以，我还是提议使用大颗的火药，这样就不存在那些困难了。罗德曼在哥伦比亚大炮中装满了如板栗一样大小的火药，它们由柳木炭制成，是在铸铁盘中变干的。这种火药坚硬而且闪闪发亮，拿完手上不留痕迹，它的成分中含有较大比例的氢和氧，能在瞬间燃烧，尽管具有很大的破坏性，却不会对炮膛口有太大损伤。”","“Certainly,” replied Elphinstone; “but that will render the working of the piece more difficult.I return then to my large-grained powder, which removes those difficulties.In his Columbiad charges Rodman employed a powder as large as chestnuts, made of willow charcoal, simply dried in cast-iron pans.This powder was hard and glittering, left no trace upon the hand, contained hydrogen and oxygen in large proportion, took fire instantaneously, and, though very destructive, did not sensibly injure the mouth-piece.”"
"一直到这时为止，巴比康都没有参与讨论；他让别人发言，而自己在听，显然，他已经有了主意。现在，他只是简单地问道：“那么，我的朋友们，你们建议用多少火药呢？”","Up to this point Barbicane had kept aloof from the discussion; he left the others to speak while he himself listened; he had evidently got an idea.He now simply said, “Well, my friends, what quantity of powder do you propose?”"
"三位成员互相看了看。","The three members looked at one another."
"“20万磅。”最后摩根说。","“Two hundred thousand pounds.” at last said Morgan."
"“50万磅。”少校补充说。","“Five hundred thousand,” added the major."
"“80万磅。”马斯顿大声叫道。","“Eight hundred thousand,” screamed Maston."
"这三种建议使得现场一度沉寂下来，最后，主席打破了沉默。","A moment of silence followed this triple proposal; it was at last broken by the president."
"“先生们，”他平静地说，“我始终坚持这样一个原则：在给定条件下，大炮产生的反冲力是无限的。我的朋友马斯顿先生一定会感到惊讶，因为我不得不说，他的计算太胆小了。我建议使用双倍的80万磅的火药。”","“Gentlemen,” he quietly said, “I start from this principle, that the resistance of a gun, constructed under the given conditions, is unlimited.I shall surprise our friend Maston, then, by stigmatizing his calculations as timid; and I propose to double his 800,000 pounds of powder.”"
"“160万磅？”马斯顿从椅子上跳起来叫道。","“Sixteen hundred thousand pounds?” shouted Maston, leaping from his seat."
"“正是如此。”","“Just so.”"
"“那么，我们就得采用我设想的炮筒长达半英里的大炮了。因为你知道，160万磅的炸药将会占据大约两万立方英尺的空间，既然大炮的容量不会超过54,000立方英尺，而火药就占了一半，那么为了让气体对炮弹有足够的冲力，炮膛就必须得长些。”","“We shall have to come then to my ideal of a cannon half a mile long; for you see 1,600,000 pounds will occupy a space of about 20,000 cubic feet; and since the contents of your cannon do not exceed 54,000 cubic feet, it would be half full; and the bore will not be more than long enough for the gas to communicate to the projectile sufficient impulse.”"
