"印度","India "
"我没有找到罗丝·艾尔默的墓地，但我在圣约翰教堂整洁的教堂墓地中找到了乔布·查诺克漂亮的陵墓。这让我高兴，因为下面这行诗句在我耳边回响甚久：","If I did not find Rose Aylmer’s tomb, I found, in St. John’s pleasant God’s Acre, the comely mausoleum of Job Charnock48, and this delighted me, because for how long has been ringing in my ears that line—"
"“那高个苍白的寡妇是我的，乔，那棕色的小姑娘是你的。”这是多年前我在《消失的光芒》中读到的，尼尔盖和着自己的音乐吟唱这行诗句。他说是在一片遥远土地的一座墓碑上看到的这句诗。这座墓碑在此和乔布·查诺克融合在一起，那片遥远的土地就是印度。但这行诗句我一定还在别的地方见到过，在加尔各答，我的接待人的藏书室里。","“The tall pale widow is mine, Joe, the little brown girl’s for you.” which I met with so many years ago in The Light That Failed,49 where the Nilghai sings it to his own music! He got it, he said, from a tombstone, in a distant land; and the tombstone is now incorporated with Job Charnock’s, the distant land being India; but the verses I have had to collect elsewhere. I found them in Calcutta, in my host’s library. "
"诗句中的乔就是约瑟夫或乔赛亚·汤森，恒河上的一名领航员。传说他和乔布·查诺克，东印度公司的一名行政官员于1690年建立了加尔各答，并将一名正要殉夫的年轻漂亮的印度寡妇从她丈夫葬礼的火台上救了下来。传说乔布·查诺克和他的新娘“相亲相爱生活了很多年，还生了几个孩子，”直到她死后被安葬在圣约翰教堂的陵墓中，此后，每到她的祭日，丈夫就会杀一只公鸡来祭拜她。经过考证，这个谣传不大可信。但查诺克是个勇敢的人，很容易成为许多传说的主角。而诗句流传下来，如果还有更可信的版本，我愿意了解。我经过一番努力把这首诗歌按照原作的大概模样进行了重写，但整个过程是愉悦的，有两句是尼尔盖歌里没有的。全诗是一首萦绕心间的奇特歌谣，让人们渴望了解更多有关这两个人的生活——边境工作人员乔布·查诺克和“勤劳能干的慈父和益友”约瑟夫·汤森，他不仅能在恒河上驾船也能在水流多变的胡格利河上航行。很少有人能在六段诗节里涵盖如此丰富的自传和传奇，并将东西方历险融合在一起——","Joe was Joseph, or Josiah Townsend, a pilot of the Ganges, and tradition has it that he and Job Charnock, who, as an officer of the East India Company, founded Calcutta in 1690, saved a pretty young Hindu widow from ascending her husband’s funeral pyre and committing suttee. Tradition states further that Job Charnock and his bride “lived lovingly for many years and had several children,” until in due time she was buried in the mausoleum at St. John’s, where her husband sacrificed a cock on each anniversary of her death ever after. The story has been examined and found to be improbable, but Charnock was a bold fellow who might easily have started many legends; and the poem remains, and if there is a livelier, I should like to know of it. I have been at the agreeable pains of reconstructing the verses as they were probably written, so that there are two more than the Nilghai sang. The whole is a very curious haunting ballad, leaving us with the desire to know much more of the lives of both men—Job Charnock the frontiersman, and Joseph Townsend, “skilful and industrious, a kind father and a useful friend,” who could navigate not only the Ganges but the shifting Hooghli. Rarely can so much mixed autobiography and romance have been packed into six stanzas—and here too the adventurous East and West meet:— "
"我把缆绳和同伴装上船，我要顺流而下，","I’ve shipped my cable, messmates, "
"我在下达出航命令，而汝坐在锚上，","I’m dropping down with the tide; "
"六月里晴朗的早晨，我从未像这样满怀良知、","I have my sailing orders while ye at anchor ride, "
"满怀希望、轻松自在地出海。","And never, on fair June morning, have I put out to sea With clearer conscience, or better hope, or heart more light and free. "
"阿什伯纳姆！费尔法克斯！听，那是铁甲的声响！","An Ashburnham! A Fairfax! Hark how the corslets ring! "
"铁匠们今天为何而来，是要在泉水之上敲打这些人？","Why are the blacksmiths out today, beating those men at the spring? "
"噢！威利，霍布，卡迪——快拿出你们的船，","Ho, Willie, Hob and Cuddie!—bring out your boats amain, "
"到死人巷那边的红色大池塘里去划桨。","There’s a great red pool to swim them o’er, yonder in Deadman’s Lane. "
"不，别哭，亲爱的凯蒂——航行只有一个月","Nay, do not cry, sweet Katie—only a month afl oat "
"然后就是戒指和牧师，在费尔莱特教堂，我的宝贝。","And then the ring and the parson, at Fairlight Church, my doat. "
"铺满鲜花的地面——少年报社！不，我见不到了","The flower-strewn path—the Press Gang! No, I shall never see "
"雏菊在她费尔莱特避风处的小小坟地上随风摇摆。","Her little grave where the daisies wave in the breeze on Fairlight Lee. "
"“肩并肩，乔，我的伙计，像楔子一样楔入人群中！","“Shoulder to shoulder, Joe, my boy, into the crowd like a wedge! "
"大伙儿，拿出你们的挂钩，但别用钩端进攻！”","Out with the hangers, messmates, but do not strike with the edge!” "
"查诺克喊道，“散开柴把！把那个婆罗门劈成两半！","Cries Charnock, “Scatter the faggots! Double that Brahmin in two! "
"那高个苍白的寡妇是我的，乔，那棕色的小姑娘是你的。”","The tall pale widow is mine, Joe, the little brown girl’s for you.” "
"年轻的乔伊（你都快六十了），为什么还是这么黑？","Young Joe (you’re nearing sixty), why is your hide so dark? "
